[2018_05_08 09:50:34] [INFO] 加载谷歌驱动
[2018_05_08 09:50:46] [INFO] 打开网址http://127.0.0.1/discuz/
[2018_05_08 09:50:46] [INFO] 成功清除内容
[2018_05_08 09:50:46] [INFO] 成功输入内容
[2018_05_08 09:50:46] [INFO] 成功清除内容
[2018_05_08 09:50:46] [INFO] 成功输入内容
[2018_05_08 09:50:46] [INFO] 成功点击
[2018_05_08 09:50:50] [INFO] 成功点击
[2018_05_08 09:50:50] [INFO] 成功清除内容
[2018_05_08 09:50:50] [INFO] 成功输入内容
[2018_05_08 09:50:50] [INFO] 成功清除内容
[2018_05_08 09:50:50] [INFO] 成功输入内容
[2018_05_08 09:50:50] [INFO] 成功点击
[2018_05_08 09:50:51] [INFO] 成功清除内容
[2018_05_08 09:50:51] [INFO] 成功输入内容
[2018_05_08 09:50:51] [INFO] 成功点击
