[2018_05_09 16:49:09] [INFO] 加载谷歌驱动
[2018_05_09 16:49:20] [INFO] 打开网址http://127.0.0.1/discuz/
[2018_05_09 16:49:22] [INFO] 成功输入内容admin
[2018_05_09 16:49:22] [INFO] 成功输入内容password
[2018_05_09 16:49:22] [INFO] 成功点击
[2018_05_09 16:49:27] [INFO] 成功点击
[2018_05_09 16:49:27] [INFO] 获取窗口CDwindow-FFEA0817A0F468ACBFD8F46014BA5D8E
[2018_05_09 16:49:27] [INFO] 获取窗口CDwindow-7C00BA25E38025A4DA409EF613F50E9C
[2018_05_09 16:49:30] [INFO] 成功输入内容password
[2018_05_09 16:50:19] [INFO] 成功点击
[2018_05_09 16:50:19] [INFO] 获取窗口CDwindow-FFEA0817A0F468ACBFD8F46014BA5D8E
[2018_05_09 16:50:19] [INFO] 获取窗口CDwindow-7C00BA25E38025A4DA409EF613F50E9C
[2018_05_09 16:50:21] [INFO] 成功点击
